round,train_accuracy,test_accuracy
1,0.9011830201809325,0.9222222222222223
2,0.9116214335421016,0.9333333333333333
3,0.9171885873347251,0.9277777777777778
4,0.929714683368128,0.9388888888888889
5,0.9359777313848295,0.9361111111111111
6,0.9373695198329853,0.9444444444444444
7,0.942240779401531,0.95
8,0.9478079331941545,0.95
9,0.9478079331941545,0.9638888888888889
10,0.9519832985386222,0.9583333333333334
11,0.9498956158663883,0.9583333333333334
12,0.9547668754349339,0.9583333333333334
13,0.9554627696590118,0.9611111111111111
14,0.9554627696590118,0.9527777777777777
15,0.9603340292275574,0.9583333333333334
16,0.9617258176757133,0.9583333333333334
17,0.9624217118997912,0.9666666666666667
18,0.9631176061238692,0.9638888888888889
19,0.9638135003479471,0.9638888888888889
20,0.9638135003479471,0.9694444444444444
21,0.9659011830201809,0.9666666666666667
22,0.9679888656924147,0.9694444444444444
23,0.9686847599164927,0.9666666666666667
24,0.9672929714683368,0.9666666666666667
25,0.9686847599164927,0.9666666666666667
26,0.9679888656924147,0.9666666666666667
27,0.9700765483646486,0.9722222222222222
28,0.9700765483646486,0.9694444444444444
29,0.9714683368128044,0.9666666666666667
30,0.9714683368128044,0.9694444444444444
